ix,BAC,age,collection_date,drink_type,num_drinks,sex,units,volume_consumed,weight
558,0.077673956,9/21/96,2018-01-29T12:21:46.361266,Vino,3.5,,,17.5,221.26
559,0.057704052,492,2018-01-29T12:21:46.361439,whiskey,1.8,F,metric,81.8000021,248.2739143
560,0.034125876,9/18/94,2018-01-29T12:21:46.361654,whiskey,1.1,Female,,1.65,178.84
561,0.020037308,493,2018-01-29T12:21:46.361885,Warsteiner,0.6,meal,metric,212.790218,230.2296197
562,0.032148833,24,2018-01-29T12:21:46.362120,vidka,1,,,1.5,169.08
563,0.288855608,334,2018-01-29T12:21:46.362345,Franziskaner Weissbier,7.2,female,SI,2557.208642,196.5831302
564,0.07523286,628,2018-01-29T12:21:46.362565,Merlot,3.8,M,,19,230.31
565,0.025706559,707,2018-01-29T12:21:46.362836,vidka,1.3,meal,,1.95,212.13
566,0.091230209,770,2018-01-29T12:21:46.363001,Cab,3.1,Male,,15.5,145.99
567,0.050953532,437,2018-01-29T12:21:46.363159,Franziskaner Weissbier,2.1,meal,,25.2,186.98
568,0.065329316,56,2018-01-29T12:21:46.363311,Scotch,1.8,Female,SI,79.80677102,213.3148391
569,0.03255522,263,2018-01-29T12:21:46.363484,Scotch,1.1,,SI,50.26879785,250.8392549
570,0.089462558,32,2018-01-29T12:21:46.363645,Scotch,3.8,,metric,168.2892033,282.9696253
571,0.076539913,1/15/72,2018-01-29T12:21:46.363817,Bud Light,2.7,Male,metric,958.3207863,248.1178867
572,0.019543348,3/8/75,2018-01-29T12:21:46.363998,Vin,0.6,meal,metric,88.28547918,257.9721269
573,0.105161989,562,2018-01-29T12:21:46.364178,Merlot,3.7,F,metric,546.2822039,270.0007854
574,0.122347527,546,2018-01-29T12:21:46.364336,Wine,5,Male,,25,198.55
575,0.068209934,11/30/72,2018-01-29T12:21:46.364481,Vin,1.7,female,,8.5,132.48
576,0.118505686,8/11/71,2018-01-29T12:21:46.364650,Vino,4.8,male,,24,209.78
577,0.145130354,1/14/65,2018-01-29T12:21:46.364924,Franziskaner Weissbier,3.8,,,45.6,137.61
578,0.08106709,595,2018-01-29T12:21:46.365145,vidka,4.5,male,,6.75,230.02
579,0.11807687,51,2018-01-29T12:21:46.365338,shots,3.4,Female,,5.1,162.32
580,0.001379231,64,2018-01-29T12:21:46.365519,IPA,0.4,male,,4.8,228.72
581,0.124519991,8/16/95,2018-01-29T12:21:46.365697,Scotch,5.6,male,SI,247.4166995,290.0991998
582,0.245576431,27,2018-01-29T12:21:46.365889,Cab,7.2,Female,SI,1066.012531,238.535313
583,0.124085005,6/22/87,2018-01-29T12:21:46.366154,Warsteiner,4.9,,metric,1740.161726,255.2991453
584,0.098377528,2/27/70,2018-01-29T12:21:46.366495,whiskey,3.7,Female,metric,162.2965536,291.7649863
585,0.070883751,575,2018-01-29T12:21:46.366773,Wine,3.1,male,metric,456.5420494,284.5048507
586,0.103781751,50,2018-01-29T12:21:46.367085,Scotch,3,Female,SI,132.4386567,235.6869788
587,0.061318051,51,2018-01-29T12:21:46.367419,Wine,2.4,Male,SI,355.0984358,242.9511319
588,0.057900397,348,2018-01-29T12:21:46.367745,Beer,2.6,male,,31.2,238.29
589,0.068813365,409,2018-01-29T12:21:46.368015,IPA,2.9,meal,,34.8,197.07
590,0.037554454,3/11/59,2018-01-29T12:21:46.368287,Scotch,1.3,,,1.95,203.98
591,0.094939665,1/31/93,2018-01-29T12:21:46.368585,shots,4,M,,6,175.24
592,0.232390014,22,2018-01-29T12:21:46.368895,Vino,7.7,F,metric,1139.372121,262.5721515
593,0.028046283,709,2018-01-29T12:21:46.369222,Merlot,0.8,Female,SI,116.6133553,257.8334848
594,0.061322412,10/24/72,2018-01-29T12:21:46.369509,Cab,2.2,M,,11,164.07
595,0.080515298,2/26/76,2018-01-29T12:21:46.369786,Vino,3.6,Male,metric,531.5658338,305.8695499
596,0.074098019,726,2018-01-29T12:21:46.370110,whiskey,3.3,Male,metric,146.641113,289.2799633
597,0.041406499,640,2018-01-29T12:21:46.370329,Wine,1.9,Male,metric,281.243515,323.6266542
598,0.100152335,2/18/67,2018-01-29T12:21:46.370499,Cab,4.4,male,metric,651.1083869,297.8456219
599,0.099110598,1/27/72,2018-01-29T12:21:46.371564,Franziskaner Weissbier,4.4,meal,,52.8,189.51
600,0.073377938,28,2018-01-29T12:21:46.372139,Warsteiner,2.6,female,metric,922.1922001,276.4111243
601,0.028260109,63,2018-01-29T12:21:46.372746,shots,0.8,Female,,1.2,169.02
602,0.095680467,51,2018-01-29T12:21:46.373189,Merlot,4.3,male,metric,635.8557628,284.949624
603,0.086493804,564,2018-01-29T12:21:46.374256,Cab,2.7,F,metric,398.6058929,255.2288385
604,0.119039358,338,2018-01-29T12:21:46.375386,Wine,6.2,meal,,31,237.56
605,0.175746791,36,2018-01-29T12:21:46.377079,Scotch,6.2,M,metric,274.5660845,223.814213
606,0.067916052,38,2018-01-29T12:21:46.377885,Vino,1.9,Female,metric,281.3839578,238.2073918
607,0.177221876,274,2018-01-29T12:21:46.378382,IPA,7.7,M,,92.4,193.74
608,0.318015838,24,2018-01-29T12:21:46.378795,vidka,8.3,female,,12.45,145.65
609,0.03418858,3/28/95,2018-01-29T12:21:46.379280,Cab,1.1,Female,,5.5,165.34
610,0.115547361,719,2018-01-29T12:21:46.379874,Bud Light,3.3,F,metric,1170.366077,234.8956648
611,0.022780202,577,2018-01-29T12:21:46.380365,Warsteiner,0.5,femeal,SI,179.1135674,198.8221189
612,0.068987388,621,2018-01-29T12:21:46.380732,Beer,2.9,male,,34.8,173.13
613,0.081602126,629,2018-01-29T12:21:46.381043,vidka,3.3,meal,,4.95,199.28
614,0.216975107,2/8/94,2018-01-29T12:21:46.381320,IPA,8.4,male,,100.8,178.48
615,0.113752727,513,2018-01-29T12:21:46.381592,Bud Light,2.9,F,,34.8,143.34
616,0.201341735,433,2018-01-29T12:21:46.381861,Beer,6.2,Female,,74.4,169.01
617,0.125495185,478,2018-01-29T12:21:46.382773,Vino,3.1,,SI,458.7794099,208.6155887
618,0.088876422,705,2018-01-29T12:21:46.383365,whiskey,3,Male,,4.5,152.25
619,0.124646418,4/15/94,2018-01-29T12:21:46.383750,Vin,5.3,male,metric,784.0890274,274.30875
620,0.191510644,10/28/81,2018-01-29T12:21:46.384708,Cab,4.9,Female,metric,724.064948,208.5044136
621,0.080375359,408,2018-01-29T12:21:46.385480,Franziskaner Weissbier,3.7,Male,metric,1313.273339,296.2202315
622,0.075874449,524,2018-01-29T12:21:46.385836,Vino,2.3,Female,metric,341.5206367,243.4669495
623,0.064179388,568,2018-01-29T12:21:46.386145,Warsteiner,3.2,meal,,38.4,202.06
624,0.092405881,291,2018-01-29T12:21:46.386411,Vin,2.1,Female,,10.5,122.99
625,0.097703031,12/12/75,2018-01-29T12:21:46.389391,vidka,4.2,Male,,6.3,202.93
626,0.074610791,1/21/83,2018-01-29T12:21:46.390068,Wine,2.1,,,10.5,157.55
627,0.061951807,351,2018-01-29T12:21:46.390421,Merlot,2.6,meal,SI,384.3872806,289.5548382
628,0.13138952,33,2018-01-29T12:21:46.391268,Beer,3,,SI,1066.10817,194.8827841
629,0.11667992,3/28/62,2018-01-29T12:21:46.392086,Cab,4,F,metric,591.2362912,265.0449749
630,0.221651252,23,2018-01-29T12:21:46.392722,shots,5.4,femeal,,8.1,133.69
631,0.186428198,469,2018-01-29T12:21:46.393108,vidka,5.8,F,metric,257.7400098,253.9795386
632,0.060834329,581,2018-01-29T12:21:46.393368,whiskey,2.6,Male,metric,115.7166101,260.5122211
633,0.041224807,57,2018-01-29T12:21:46.393707,Beer,1.7,meal,,20.4,184.06
634,0.056250286,551,2018-01-29T12:21:46.393914,Warsteiner,2.2,male,,26.4,182.27
635,0.141539762,24,2018-01-29T12:21:46.394106,Bud Light,4.1,femeal,,49.2,177.23
636,0.096616226,397,2018-01-29T12:21:46.394814,IPA,3,Female,,36,171.12
637,0.124468544,4/25/91,2018-01-29T12:21:46.395385,Wine,5.6,male,,28,194.02
638,0.09939738,3/26/88,2018-01-29T12:21:46.396090,Merlot,4.2,M,metric,620.9855941,281.6624318
639,0.045060937,683,2018-01-29T12:21:46.396624,Merlot,1.3,F,,6.5,179.89
640,0.028845204,3/6/95,2018-01-29T12:21:46.397002,Vino,1.1,,SI,163.0988133,266.0087803
641,0.184321297,497,2018-01-29T12:21:46.397408,Bud Light,4.8,,SI,1705.136446,205.8744104
642,0.041095332,11/17/95,2018-01-29T12:21:46.397714,Vin,1.1,Female,,5.5,133.3
643,0.105607069,372,2018-01-29T12:21:46.398058,Merlot,3.2,F,,16,171.51
644,0.312395736,400,2018-01-29T12:21:46.398362,Scotch,6.8,F,,10.2,125.04
645,0.040585052,60,2018-01-29T12:21:46.398648,Bud Light,1.2,femeal,metric,426.9284459,234.7110526
646,0.200221576,390,2018-01-29T12:21:46.398859,Bud Light,5.4,,,64.8,153.07
647,0.102506317,38,2018-01-29T12:21:46.399218,Cab,3.9,femeal,SI,576.4732769,279.5899818
648,0.094424234,340,2018-01-29T12:21:46.399731,Wine,2.7,F,metric,399.8124611,244.9228934
649,0.125587187,12/15/92,2018-01-29T12:21:46.400653,vidka,5,M,metric,222.1220431,273.6829791
650,0.018148218,12/24/60,2018-01-29T12:21:46.401245,Vin,0.4,F,SI,60.99560664,247.3803207
651,0.018147685,435,2018-01-29T12:21:46.401477,Warsteiner,0.7,meal,metric,248.2358713,281.1038373
652,0.234666845,8/15/85,2018-01-29T12:21:46.401715,shots,6.9,femeal,,10.35,162.49
653,0.076744965,535,2018-01-29T12:21:46.402041,Bud Light,2.8,meal,,33.6,166.58
654,0.100442337,322,2018-01-29T12:21:46.402311,Bud Light,4.7,,,56.4,222.85
655,0.035915415,51,2018-01-29T12:21:46.402737,Vino,1.5,meal,SI,220.6970023,310.6956806
656,0.047193617,12/20/77,2018-01-29T12:21:46.403395,vidka,1.9,meal,metric,83.10962695,268.5217806
657,0.075626617,780,2018-01-29T12:21:46.403709,Vin,2.3,,,11.5,175.03
658,0.111077115,601,2018-01-29T12:21:46.404078,Bud Light,4.5,Male,metric,1598.001985,274.1808759
659,0.072791975,43,2018-01-29T12:21:46.404642,Warsteiner,3.5,M,metric,1243.565342,353.0124494
660,0.078954511,530,2018-01-29T12:21:46.405010,vidka,3.4,meal,SI,150.7207795,292.2199821
661,0.124540312,598,2018-01-29T12:21:46.405410,vidka,4,,SI,177.3836606,257.3653582
662,0.013338842,653,2018-01-29T12:21:46.405622,Scotch,0.5,female,,0.75,161.39
663,0.040608509,768,2018-01-29T12:21:46.405784,Beer,2,,SI,710.3958598,307.3451311
664,0.109105956,43,2018-01-29T12:21:46.405959,Beer,2.9,femeal,,34.8,158.78
665,0.117557677,41,2018-01-29T12:21:46.406299,IPA,3.6,F,,43.2,171.46
666,0.093372959,531,2018-01-29T12:21:46.406486,whiskey,3.4,,,5.1,162.47
667,0.023652931,481,2018-01-29T12:21:46.406647,Wine,1.3,M,SI,192.1795526,260.8009666
668,0.069012683,628,2018-01-29T12:21:46.406822,Scotch,3.8,,metric,169.9001773,330.0627571
669,0.083106228,6/22/95,2018-01-29T12:21:46.406983,Scotch,3.4,meal,,5.1,179.05
670,0.146349463,23,2018-01-29T12:21:46.407148,Scotch,6.3,Male,metric,277.0914751,287.518429
671,0.050776589,667,2018-01-29T12:21:46.407433,shots,1.3,Female,SI,59.3009232,191.8857651
672,0.142126198,36,2018-01-29T12:21:46.407632,Beer,6.2,male,,74.4,201.15
673,0.100115708,299,2018-01-29T12:21:46.408000,Cab,4,male,,20,182.56
674,0.064705415,1/7/61,2018-01-29T12:21:46.408243,Warsteiner,2.6,meal,metric,924.7945274,280.6702899
675,0.020927371,44,2018-01-29T12:21:46.408519,vidka,0.6,femeal,,0.9,155.55
676,0.014469441,63,2018-01-29T12:21:46.408910,Bud Light,0.8,M,metric,285.3945319,246.5556019
677,0.247741094,322,2018-01-29T12:21:46.409355,Franziskaner Weissbier,7.5,female,metric,2664.603112,240.8299166
678,0.031544237,696,2018-01-29T12:21:46.409621,Wine,0.9,,metric,133.1304158,249.1441543
679,0.088504305,542,2018-01-29T12:21:46.409821,Warsteiner,2.8,,metric,992.0876056,265.844518
680,0.071908723,444,2018-01-29T12:21:46.410012,Cab,2,Female,SI,296.4201889,250.1831806
681,0.104743691,563,2018-01-29T12:21:46.410246,Beer,4.8,meal,,57.6,199.3
682,0.113438253,351,2018-01-29T12:21:46.410567,Warsteiner,5.1,Male,SI,1810.651145,313.7518677
683,0.117916014,418,2018-01-29T12:21:46.410790,vidka,5,Male,,7.5,196
684,0.021416159,647,2018-01-29T12:21:46.410953,Vin,1.4,,,7,233.53
685,0.049900864,551,2018-01-29T12:21:46.411158,IPA,2.2,meal,,26.4,204.87
686,0.086350999,441,2018-01-29T12:21:46.411317,Cab,3.4,male,,17,173.96
687,0.010815361,53,2018-01-29T12:21:46.411489,Cab,0.5,M,metric,74.96827975,287.4777805
688,0.110632179,4/17/77,2018-01-29T12:21:46.411718,vidka,4.9,male,metric,218.2239113,296.682593
689,0.084874484,668,2018-01-29T12:21:46.412190,Franziskaner Weissbier,2.7,femeal,,32.4,180.08
690,0.011013255,442,2018-01-29T12:21:46.413164,Warsteiner,0.7,Male,metric,249.224852,267.7355522
691,0.132177239,47,2018-01-29T12:21:46.414221,Franziskaner Weissbier,4.7,female,SI,1668.593782,288.8915425
692,0.034247133,395,2018-01-29T12:21:46.415348,Vin,1.5,male,SI,221.3032337,281.942111
693,0.056345063,10/26/87,2018-01-29T12:21:46.415688,IPA,2.5,M,metric,889.4610643,335.7414875
694,0.089346943,552,2018-01-29T12:21:46.416588,Wine,4.3,meal,metric,636.7587261,322.6373826
695,0.028158204,2/5/91,2018-01-29T12:21:46.417007,Bud Light,0.9,Female,SI,319.0479249,256.0303755
696,0.053674538,477,2018-01-29T12:21:46.417373,Franziskaner Weissbier,1.9,male,,22.8,190.22
697,0.11145659,520,2018-01-29T12:21:46.417554,whiskey,5.2,meal,metric,230.2709041,286.9094399
698,0.13224221,8/26/86,2018-01-29T12:21:46.417830,Scotch,5.6,meal,metric,246.1248221,273.1027599
699,0.041663189,472,2018-01-29T12:21:46.418178,Scotch,1.3,F,metric,57.74323603,245.1179672
700,0.059527776,42,2018-01-29T12:21:46.418444,Bud Light,2.3,,,27.6,184.71
701,0.072669913,687,2018-01-29T12:21:46.418679,Scotch,3.1,M,SI,138.6843854,300.7476376
702,0.101063074,58,2018-01-29T12:21:46.418854,Merlot,3.9,femeal,,19.5,212.31
703,0.088395108,56,2018-01-29T12:21:46.419025,IPA,3.6,M,,43.2,185.89
704,0.054456885,370,2018-01-29T12:21:46.419431,Warsteiner,2.4,Male,,28.8,190.77
705,0.050757989,409,2018-01-29T12:21:46.419638,Bud Light,1.5,Male,SI,532.9735015,252.6537759
706,0.157474483,479,2018-01-29T12:21:46.419837,Vin,5,female,,25,178.43
707,0.149311386,394,2018-01-29T12:21:46.420019,vidka,6.9,male,metric,306.8779302,294.5598809
708,0.069793185,456,2018-01-29T12:21:46.420212,Franziskaner Weissbier,2,Female,metric,712.5184885,257.213797
709,0.049302182,37,2018-01-29T12:21:46.420525,Merlot,2,meal,metric,298.002557,260.9551307
710,0.077984126,465,2018-01-29T12:21:46.420793,Scotch,2.6,femeal,SI,114.509048,266.706687
711,0.122663173,3/20/77,2018-01-29T12:21:46.421125,Scotch,4.9,,,7.35,179.39
712,0.034956701,486,2018-01-29T12:21:46.421344,whiskey,1.2,Male,metric,53.13141824,308.3590893
713,0.008531176,695,2018-01-29T12:21:46.421611,Merlot,0.4,Male,,2,209.05
714,0.054126426,48,2018-01-29T12:21:46.421768,vidka,2,Female,metric,89.10235146,251.0308446
715,0.169183511,12/17/93,2018-01-29T12:21:46.421944,Bud Light,5.2,Female,metric,1846.004959,246.4560841
716,0.213608659,385,2018-01-29T12:21:46.422132,Cab,6.3,female,metric,932.5599624,235.0871733
717,0.196016818,1/4/86,2018-01-29T12:21:46.422296,Bud Light,5.5,femeal,,66,159.78
718,0.096963223,25,2018-01-29T12:21:46.422461,Vin,3,female,SI,442.3825499,239.6004304
719,0.029912063,773,2018-01-29T12:21:46.422643,IPA,1.2,Male,SI,426.3054944,269.990215
720,0.124597756,38,2018-01-29T12:21:46.422805,Cab,5.8,M,metric,855.9658362,297.9727246
721,0.180246719,293,2018-01-29T12:21:46.422978,Scotch,7.2,meal,,10.8,181.87
722,0.086038327,10/18/53,2018-01-29T12:21:46.423121,whiskey,3.1,Female,SI,137.2336951,294.0493825
723,0.047934935,573,2018-01-29T12:21:46.423296,Wine,2.1,M,SI,312.8951702,268.9707731
724,0.072605931,565,2018-01-29T12:21:46.423455,shots,2.1,female,,3.15,170.51
725,0.114015182,26,2018-01-29T12:21:46.423601,vidka,4.7,M,metric,208.2693559,261.5974805
726,0.157833546,25,2018-01-29T12:21:46.423833,Scotch,8.8,male,,13.2,241.03
727,0.072206487,21,2018-01-29T12:21:46.424237,Franziskaner Weissbier,2.3,male,,27.6,156.13
728,0.086036313,458,2018-01-29T12:21:46.424654,Warsteiner,2,female,,24,130.59
729,0.042596423,1/5/65,2018-01-29T12:21:46.425107,whiskey,1.9,male,,2.85,187.91
730,0.005337544,629,2018-01-29T12:21:46.425432,whiskey,0.5,M,metric,21.62850881,253.8445288
731,0.113692535,6/22/90,2018-01-29T12:21:46.425660,IPA,5.5,M,,66,210.66
732,0.071961158,694,2018-01-29T12:21:46.425990,Beer,3,meal,,36,200.58
733,0.082848527,779,2018-01-29T12:21:46.426318,Franziskaner Weissbier,3.1,Male,,37.2,188.12
734,0.019456376,12/11/75,2018-01-29T12:21:46.426608,Franziskaner Weissbier,0.6,femeal,SI,213.969122,245.7256371
735,0.117515219,472,2018-01-29T12:21:46.426807,Franziskaner Weissbier,3.2,Female,,38.4,162.62
736,0.029689113,21,2018-01-29T12:21:46.427022,vidka,1.2,male,,1.8,192.78
737,0.069212853,325,2018-01-29T12:21:46.427197,Merlot,3.7,male,metric,546.5327114,360.3506881
738,0.112337175,394,2018-01-29T12:21:46.427491,IPA,5.3,,,63.6,210.78
739,0.216401711,3/19/89,2018-01-29T12:21:46.427709,Scotch,7,Female,SI,310.5509093,270.5582253
740,0.108859514,48,2018-01-29T12:21:46.427914,Vin,3.1,female,SI,459.1816247,243.903299
741,0.02914816,32,2018-01-29T12:21:46.428110,Vino,0.8,female,metric,118.4347844,216.2996415
742,0.098357993,293,2018-01-29T12:21:46.428302,shots,4.1,meal,,6.15,196.4
743,0.094146942,26,2018-01-29T12:21:46.428599,Vino,1.9,F,,9.5,118.8
744,0.194809129,437,2018-01-29T12:21:46.428953,shots,6.2,Female,metric,275.1380773,255.2140042
745,0.067321113,561,2018-01-29T12:21:46.429712,whiskey,2.7,Male,metric,118.6860483,262.2974037
746,0.083550776,532,2018-01-29T12:21:46.430316,Warsteiner,2.8,male,,33.6,157.49
747,0.092176284,456,2018-01-29T12:21:46.430787,whiskey,2.6,female,metric,115.2934198,227.2998027
748,0.066621967,4/21/62,2018-01-29T12:21:46.431306,vidka,2.7,meal,,4.05,169.09
749,0.075338303,645,2018-01-29T12:21:46.431622,Wine,3.3,,,16.5,189.79
750,0.001766798,12/16/69,2018-01-29T12:21:46.431871,Franziskaner Weissbier,0.5,meal,SI,178.8021011,312.1860306
751,0.015376314,527,2018-01-29T12:21:46.432195,Franziskaner Weissbier,0.6,,,7.2,179.28
752,0.099068441,776,2018-01-29T12:21:46.432627,Merlot,3.1,femeal,,15.5,180.79
753,0.037167839,52,2018-01-29T12:21:46.433095,Scotch,1,femeal,SI,44.43327648,257.2412899
754,0.132726666,27,2018-01-29T12:21:46.433558,whiskey,3.6,,,5.4,147.45
755,0.13022679,7/18/58,2018-01-29T12:21:46.434199,Beer,2.9,F,,34.8,127.42
756,0.22187282,31,2018-01-29T12:21:46.434643,IPA,6.3,female,,75.6,158.2
757,0.076075552,11/24/70,2018-01-29T12:21:46.434890,whiskey,3.2,,SI,141.6387199,266.4859255
758,0.184400377,352,2018-01-29T12:21:46.435075,Beer,6,female,metric,2132.13005,273.9027902
759,0.038315375,528,2018-01-29T12:21:46.435339,Wine,1.1,,,5.5,147.84
760,0.066766098,10/27/78,2018-01-29T12:21:46.435582,shots,3.2,Male,,4.8,211.01
761,0.085958398,461,2018-01-29T12:21:46.435800,vidka,3.3,,metric,147.8947739,250.0723784
762,0.013045477,50,2018-01-29T12:21:46.436277,Bud Light,0.5,Male,metric,179.0670711,262.6531557
763,0.042036693,601,2018-01-29T12:21:46.436803,Scotch,2.5,male,metric,110.1180945,329.8599194
764,0.086554019,58,2018-01-29T12:21:46.437114,Vin,3,meal,,15,164.98
765,0.068973745,6/11/59,2018-01-29T12:21:46.437899,Vin,2.1,male,,10.5,173.61
766,0.074120127,4/28/54,2018-01-29T12:21:46.438300,Vin,2.4,,metric,355.4332978,272.1130973
767,0.035228442,9/25/56,2018-01-29T12:21:46.438667,Scotch,1.2,Male,,1.8,171.86
768,0.021396488,22,2018-01-29T12:21:46.438998,Warsteiner,1.1,,,13.2,186.06
769,0.076449178,640,2018-01-29T12:21:46.439296,IPA,2.8,M,metric,994.1302021,255.9402461
770,0.036112697,735,2018-01-29T12:21:46.439600,whiskey,0.8,femeal,metric,35.37427266,194.1806874
771,0.117456801,5/9/66,2018-01-29T12:21:46.439878,Wine,4.4,meal,,22,169.12
772,0.296482807,279,2018-01-29T12:21:46.440154,IPA,9.7,,metric,3445.810667,266.990856
773,0.040547675,48,2018-01-29T12:21:46.440402,Merlot,1.5,M,,7.5,162.22
774,0.054727822,37,2018-01-29T12:21:46.440785,Cab,2,M,metric,295.6296149,234.9653384
775,0.101411054,52,2018-01-29T12:21:46.441017,Vino,3.3,femeal,,16.5,189.94
776,0.100362144,37,2018-01-29T12:21:46.441204,Beer,3.3,femeal,,39.6,183.64
777,0.00490953,480,2018-01-29T12:21:46.441385,Scotch,0.6,,metric,26.56182334,237.2898637
778,0.036302802,704,2018-01-29T12:21:46.441555,shots,1.3,meal,,1.95,188.02
779,0.111062881,52,2018-01-29T12:21:46.441711,Vino,4.3,male,,21.5,171.83
780,0.123111343,44,2018-01-29T12:21:46.441897,Cab,5.1,Male,,25.5,195.06
781,0.07459126,58,2018-01-29T12:21:46.442084,Vino,3,male,,15,201.38
782,0.035619542,23,2018-01-29T12:21:46.442264,vidka,1.1,Female,,1.65,185.8
783,0.033415823,684,2018-01-29T12:21:46.442443,Warsteiner,1.8,,metric,640.9089351,276.714163
784,0.099560867,550,2018-01-29T12:21:46.442621,Warsteiner,4.4,M,,52.8,192.9
785,0.068412315,385,2018-01-29T12:21:46.442772,Cab,3.1,meal,SI,457.9967973,277.4188737
786,0.237944743,9/28/87,2018-01-29T12:21:46.442937,shots,7.5,femeal,metric,331.1756687,256.6914671
787,0.062905128,712,2018-01-29T12:21:46.443110,Warsteiner,2.9,male,metric,1030.830301,282.0099962
788,0.09795073,1/2/71,2018-01-29T12:21:46.443270,whiskey,3.2,Female,metric,141.6591301,272.7659807
789,0.104490455,30,2018-01-29T12:21:46.443441,IPA,3.3,F,,39.6,175.65
790,0.056134991,4/28/70,2018-01-29T12:21:46.443602,vidka,1.6,Female,,2.4,158.53
791,0.07864293,572,2018-01-29T12:21:46.443762,Warsteiner,2.1,F,SI,745.7853596,239.2657203
792,0.016559691,748,2018-01-29T12:21:46.443920,Warsteiner,0.8,male,,9.6,217.01
793,0.07080862,50,2018-01-29T12:21:46.444070,Warsteiner,2,F,,24,155.91
794,0.160632992,22,2018-01-29T12:21:46.444736,shots,6.8,M,,10.2,193.99
795,0.132451409,9/30/96,2018-01-29T12:21:46.445182,Merlot,3.5,femeal,SI,517.7667526,233.3646125
796,0.082950378,50,2018-01-29T12:21:46.445568,Cab,2.5,F,,12.5,164.35
797,0.071376746,479,2018-01-29T12:21:46.445874,Vino,2.5,femeal,,12.5,191.84
798,0.115409703,471,2018-01-29T12:21:46.446111,Scotch,4.5,male,metric,200.4068962,244.8571867
799,0.044654434,39,2018-01-29T12:21:46.446299,Franziskaner Weissbier,2.5,Male,,30,212.4
800,0.033203925,675,2018-01-29T12:21:46.446505,whiskey,1.8,male,SI,78.5249714,323.5229912
801,0.059118711,658,2018-01-29T12:21:46.446720,Vino,2.3,meal,,11.5,209
802,0.07304639,618,2018-01-29T12:21:46.446966,Franziskaner Weissbier,2.4,femeal,SI,853.050867,269.4217014
803,0.051066471,3/27/83,2018-01-29T12:21:46.447140,vidka,1.4,female,,2.1,137.44
804,0.0288428,10/3/81,2018-01-29T12:21:46.447413,Cab,0.7,Female,,3.5,136.94
805,0.050312852,39,2018-01-29T12:21:46.448059,Vino,1.9,M,,9.5,174.33
806,0.021273506,428,2018-01-29T12:21:46.448721,Vin,0.7,Female,metric,103.4296856,261.0759869
807,0.026043357,32,2018-01-29T12:21:46.449208,Bud Light,0.8,,,9.6,180.68
808,0.253468772,305,2018-01-29T12:21:46.449450,shots,8.9,Female,,13.35,193.86
809,0.024450267,41,2018-01-29T12:21:46.449714,Wine,0.6,,SI,89.22031412,228.4220724
810,0.021880934,640,2018-01-29T12:21:46.450116,whiskey,1.4,male,metric,63.25754823,269.1605884
811,0.15727957,4/5/85,2018-01-29T12:21:46.450583,shots,4.6,Female,metric,203.6799065,230.4818752
812,0.01839833,594,2018-01-29T12:21:46.450970,whiskey,1,M,,1.5,189.41
813,0.047276864,59,2018-01-29T12:21:46.451158,Vin,2.1,M,,10.5,196.43
814,0.045792567,12/27/55,2018-01-29T12:21:46.451357,Warsteiner,2,M,,24,186.28
815,0.039707747,510,2018-01-29T12:21:46.451553,Warsteiner,1.2,female,SI,427.733564,232.0927175
816,0.000709639,3/26/66,2018-01-29T12:21:46.451926,Franziskaner Weissbier,0.5,male,,6,199.95
817,0.004556107,45,2018-01-29T12:21:46.452127,Warsteiner,0.6,female,metric,212.3590366,256.0689832
818,0.125430223,261,2018-01-29T12:21:46.452339,Franziskaner Weissbier,3.4,femeal,,40.8,146.51
819,0.117012161,9/14/63,2018-01-29T12:21:46.452517,vidka,4.2,M,SI,185.9487156,245.6624933
820,0.062945384,611,2018-01-29T12:21:46.452735,Wine,2.9,M,,14.5,211.93
821,0.028314115,670,2018-01-29T12:21:46.452884,Vino,0.9,Female,metric,132.7150252,245.1737108
822,0.152291615,41,2018-01-29T12:21:46.453098,Beer,5.4,,,64.8,187.87
823,0.135434958,5/13/93,2018-01-29T12:21:46.453264,Beer,6.1,M,SI,2169.367098,278.9671393
824,0.074407754,303,2018-01-29T12:21:46.453438,shots,2,F,,3,158.31
825,0.096826328,2/20/86,2018-01-29T12:21:46.453592,vidka,3.9,,,5.85,193.23
826,0.06729695,285,2018-01-29T12:21:46.453753,Bud Light,2.1,female,,25.2,181.89
827,0.259197998,29,2018-01-29T12:21:46.453905,shots,7.6,female,,11.4,165.13
828,0.092482187,597,2018-01-29T12:21:46.454067,Franziskaner Weissbier,2.5,Female,metric,887.5311768,236.8767427
829,0.100868887,313,2018-01-29T12:21:46.454224,Vino,3.8,male,metric,563.3606232,240.9995764
830,0.166078629,5/20/68,2018-01-29T12:21:46.454381,Wine,4.5,femeal,SI,666.7842896,220.221737
831,0.261752814,24,2018-01-29T12:21:46.454553,Bud Light,7.1,F,,85.2,151.42
832,0.043713141,710,2018-01-29T12:21:46.454712,shots,2.1,M,,3.15,185.39
833,0.021250308,10/29/55,2018-01-29T12:21:46.454863,whiskey,1.2,male,,1.8,221.76
834,0.076169837,4/16/75,2018-01-29T12:21:46.455018,Vino,2.3,femeal,,11.5,174.26
835,0.234632647,32,2018-01-29T12:21:46.455346,Scotch,6.2,Female,,9.3,143.72
836,0.061751293,9/28/62,2018-01-29T12:21:46.455525,Beer,2.7,meal,SI,957.7156852,314.7193605
